"comicName","comicSummary","comicGrade"
"러브 햄츄얼리","햄지 연애 성공기","9.71"
"원더키퍼","너를 지키는","9.89"
"CMYK","의식의 흐름 만화","9.11"
"방구석수필","내가 살아온 순간들","9.88"
"나의 별에게","감성로맨스","9.89"
"소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지!","9.90"
"우리는한팀","어느 가족 이야기","8.94"
"공작일보 工作日<U+62A5>","보부장의 상해 살이","9.35"
"확진자Z","확진자Z","9.15"
"아빠는 N살","아빠 4컷 그림일기","9.90"
"산군대잔치","강아지 산군의 일상","9.84"
"급식으로 사는 법","리얼 학교생활","9.42"
"죽 쑨 만화","아싸 대학생의 일상","9.78"
"귀현설(鬼現說)","공포 클리셰를 깨자","9.32"
"미줌툰","미국 줌마의 일상","9.89"
"모두의 미아씨","미아씨의 매일매일","9.33"
"낮잠 자는 사람들","지하창작인밀착일상툰","9.90"
"혼자앤피스","인생은 혼자","9.74"
"러브 유어 시스터","사랑스럽고수상한남자","9.83"
"광해와 이순신","전쟁을 이긴 영웅들","9.60"
"찔레꽃  그너머","임진왜란과 서민의삶","9.86"
"두남자일기","평범한 동거","9.69"
"송양 게스트하우스","송양","9.77"
"죽음과 동화","두려움.증오.사랑","9.87"
"라이즈(RISE)","너의 마력은 루시퍼","9.52"
"너구리네 육아일기","육아일기","9.77"
"동글앤토실","19년 묵은 커플","9.88"
"86'd","주방 만화","9.87"
"디플로마티코","스페이스 오페라","9.71"
"실험학교","변형자들의 학교","9.89"
"더 리턴","왜 우린 달라?","9.73"
"한지붕 새가족","꿀잼 가족 시트콤!","9.68"
"직업 : 며느리","결혼하면 겪는 일","9.48"
"뭉가툰","뭉가의 일상툰","9.78"
"무엇이든 그려드립니닷!","무엇이든그려드립니닷","9.86"
"피지 않는 꽃","너, 귀신이 보여?","9.74"
"시간과 사연","사남매 이야기","9.77"
"나를 죽이는 방법","지워낼수 없는 후회","9.84"
"두꺼비집","가출청소년공포스릴러","9.80"
"그림자게임","그림자게임 3 시작","9.86"
"그리고 이로써 차차","간판 만들어드립니다","8.80"
"소라비의 잡화점","#남장여자","9.75"
"잔액이 부족합니다","대중교통 일상툰","9.90"
"낯가리는 관종","낯가리는 관종일기","9.82"
"생산직 툰","생산직 4컷 만화","9.78"
"좀비 패밀리","(구)신혼좀비","9.87"
"대학원 탈출일지","대학원에서 살아남기","9.90"
"젤라 유니버스","안젤라 일대기","9.86"
"주름진 사장님","노안 사장님의이야기","9.52"
"AI폰 아리랑","AI폰 아리랑","9.86"
"무선혜드셋 정보툰!!","잡상식을 재미있게","9.88"
"몽글툰","백수돼지는 게임중","9.74"
"방에 콕! 진댕","방에 콕! 일상툰","9.87"
"백온더트랙","서른의 우리에게","9.14"
"과학고 생존일지","과학고에 간 문과생","9.76"
"체리 블러드","액션X판타지X로맨스","9.51"
"꿀꾸리? 꿈꾸리!","중학생 꾸리일기-","8.57"
"일상견문록","다른나라 일상이야기","9.84"
"곰의 딸","소녀의 모험","9.46"
"그들의 사정","얽히고 설킨 그들","9.20"
"스물여섯","혼자 할 수 있어!","9.47"
"고란툰","고란이의 일상이야기","8.21"
"감각의 어빌러티","특이한친구들의능력은","9.88"
"함께 할 때까지","곰신바카","9.64"
"로그 아일","판타지 생존기","9.65"
"30일의 시간여행","응답하라!80-90","9.32"
"하루의 하늘","삼각관계 대학생활","9.53"
"미용사 : LOST HERO","전직용사현직미용사!","9.72"
"봉산코믹스","비극과희극 단편선","9.79"
"매그니피센트","위대한 우리들","9.76"
"굥이의 하루","굥이의 하루","9.66"
"매지컬팡","명랑만화 매지컬팡","9.83"
"구나의 그랬구나","어린이집 교사냥이","9.90"
"재테크는 스크루지","초보자용 재테크웹툰","9.79"
"사쟈툰","사쟈를 그립니다.","8.69"
"애포칼립스","좀베창궐 문명파괴","9.17"
"당할연","당신도할수있다연애","7.80"
"지극히 평범한 생활","말만 평범한 일상툰","9.90"
"너와 나의 하늘색","웹툰창작 청춘로맨스","9.64"
"어둠의 일상툰","어둠의 일상","9.67"
"짜이타임","부부 고양이 일상툰","9.86"
"타챠노트","프리랜서일기","9.79"
"158동 진상부부","부부의 진짜 일상","9.34"
"프라이머리 컬러","게임회사 입사꿀팁!","9.76"
"집순이에 대하여","집순이들의 일상","9.72"
"쿤도덥브라더스","개와 고양이의 동거","9.88"
